,Category,Value,precision,recall,fbeta
0,workclass,State-gov,0.956268221574344,0.9291784702549575,0.9425287356321839
0,workclass,Self-emp-not-inc,0.9600591715976331,0.8964088397790055,0.927142857142857
0,workclass,Private,0.954602510460251,0.919403586540399,0.93667248280817
0,workclass,Federal-gov,0.9435483870967742,0.9460916442048517,0.9448183041722745
0,workclass,Local-gov,0.9614093959731543,0.9286871961102107,0.9447650453421269
0,workclass,?,0.9273743016759777,0.8691099476439791,0.8972972972972973
0,workclass,Self-emp-inc,0.962171052631579,0.9405144694533762,0.9512195121951219
0,workclass,Without-pay,1.0,1.0,1.0
0,workclass,Never-worked,1.0,1.0,1.0
0,education,Bachelors,0.9595029912563277,0.9387663214768123,0.9490213928083752
0,education,HS-grad,0.9486679662118258,0.8716417910447761,0.9085252022401992
0,education,11th,1.0,0.9333333333333333,0.9655172413793104
0,education,Masters,0.9577754891864058,0.9697601668404588,0.9637305699481865
0,education,9th,1.0,0.8888888888888888,0.9411764705882353
0,education,Some-college,0.9503386004514672,0.9105984138428262,0.9300441826215021
0,education,Assoc-acdm,0.926923076923077,0.909433962264151,0.9180952380952381
0,education,Assoc-voc,0.9472140762463344,0.8947368421052632,0.9202279202279202
0,education,7th-8th,1.0,0.75,0.8571428571428571
0,education,Doctorate,0.9558359621451105,0.9901960784313726,0.9727126805778492
0,education,Prof-school,0.9718969555035128,0.9810874704491725,0.9764705882352941
0,education,5th-6th,1.0,0.75,0.8571428571428571
0,education,10th,0.9583333333333334,0.7419354838709677,0.8363636363636364
0,education,1st-4th,1.0,0.6666666666666666,0.8
0,education,Preschool,1.0,1.0,1.0
0,education,12th,1.0,0.696969696969697,0.8214285714285715
0,marital-status,Never-married,0.9796380090497737,0.8818737270875764,0.9281886387995714
0,marital-status,Married-civ-spouse,0.9515337423312883,0.9270771069934249,0.9391462306993641
0,marital-status,Divorced,0.9693396226415094,0.8876889848812095,0.9267192784667418
0,marital-status,Married-spouse-absent,0.967741935483871,0.8823529411764706,0.923076923076923
0,marital-status,Separated,1.0,0.8181818181818182,0.9
0,marital-status,Married-AF-spouse,1.0,0.9,0.9473684210526316
0,marital-status,Widowed,1.0,0.8705882352941177,0.9308176100628931
0,occupation,Adm-clerical,0.9471544715447154,0.9191321499013807,0.932932932932933
